gender,dept,gt,it,wk,l1,category_zh,n_total,n_designs,n_clients,confidence,top_client,top_client_pct,top3_clients,top_iso,top_iso_pct,top_method_en,top_method_pct,ie_avg_sec,iso_count,method_count,top_machine,top_skill,top_section
MEN,RTW,BOTTOM,PANTS,KNIT,PS,褲合身,91,10,5,high,HIGH LIFE LLC,44.0,HIGH LIFE LLC(44.0%) / WAL-MART-CA(26.4%) / ASICS-EU(14.3%),514,51.8,4-thread Overlock,35.5,0.042,6,11,手工-含做記號、翻修等工段,B,修頭尾縫份(兩邊)
MEN,RTW,BOTTOM,PANTS,WOVEN,WB,腰頭,91,28,7,high,GU,49.5,GU(49.5%) / WAL-MART-CA(22.2%) / ZARA(10.1%),301,72.0,Lockstitch,37.9,0.085,7,11,手工-含做記號、翻修等工段,E,做鬆緊帶記號
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,PD,褶,90,52,5,high,TARGET,45.1,TARGET(45.1%) / BEYOND YOGA(26.4%) / DICKS SPORTING GOODS(22.0%),301,97.0,Lockstitch,46.6,0.038,3,8,平車-細針距,B,抽褶_1.5倍
WOMEN,RTW,BOTTOM,PANTS,KNIT,LO,褲口,88,37,10,high,KOHLS,17.8,KOHLS(17.8%) / TARGET(16.7%) / ASICS-EU(14.4%),514,51.4,4-thread Overlock,27.8,0.057,5,10,手工-含做記號、翻修等工段,B,壓褲口
WOMEN,RTW,BOTTOM,PANTS,WOVEN,LB,商標,88,47,10,high,GU,25.0,GU(25.0%) / KOHLS(15.9%) / WAL-MART-CA(13.6%),301,100.0,Marking,48.0,0.024,1,5,平車-細針距,E,做記號
MEN,ACTIVE,BOTTOM,PANTS,KNIT,DC,繩類,88,80,8,high,KOHLS,33.0,KOHLS(33.0%) / OLD NAVY(27.8%) / UNDER ARMOUR(14.4%),301,100.0,Marking,34.5,0.061,1,4,手工-含做記號、翻修等工段,C,繩固定大身
WOMEN,RTW,BOTTOM,PANTS,KNIT,LB,商標,84,36,10,high,ASICS-EU,22.6,ASICS-EU(22.6%) / TARGET(19.0%) / WAL-MART-CA(13.1%),301,100.0,Marking,47.8,0.026,1,5,手工-含做記號、翻修等工段,E,做記號
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,80,24,3,high,TARGET,48.9,TARGET(48.9%) / A & F(45.7%) / UNDER ARMOUR(5.4%),301,55.2,Lockstitch,35.0,0.065,5,8,手工-含做記號、翻修等工段,E,做上腰頭記號
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,BP,襬叉,79,40,4,high,DICKS SPORTING GOODS,53.1,DICKS SPORTING GOODS(53.1%) / UNDER ARMOUR(39.5%) / KOHLS(4.9%),301,61.4,Lockstitch,36.2,0.12,3,6,平車-細針距,B,合叉上一段
MEN,ACTIVE,BOTTOM,SHORTS,WOVEN,PK,口袋,78,15,3,high,DISTANCE,45.1,DISTANCE(45.1%) / DICKS SPORTING GOODS(34.1%) / TARGET(20.7%),301,69.6,Lockstitch,33.2,0.075,6,11,平車-細針距,B,打結(四個)
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,BP,襬叉,77,51,4,high,TARGET,72.7,TARGET(72.7%) / DICKS SPORTING GOODS(14.3%) / ATHLETA(11.7%),301,51.3,Bartack,32.6,0.068,4,8,平車-細針距,B,合叉上一段
WOMEN,RTW,BOTTOM,PANTS,WOVEN,FP,袋蓋,77,20,1,low,GU,100.0,GU(100.0%),301,78.7,Lockstitch,29.8,0.054,4,7,平車-細針距,B,燙袋蓋表襯
WOMEN,RTW,BOTTOM,PANTS,WOVEN,LI,裡布,76,23,5,high,GU,56.4,GU(56.4%) / KOHLS(28.2%) / WAL-MART-CA(10.3%),301,76.2,Marking,40.4,0.042,3,5,手工-含做記號、翻修等工段,E,表裡檔底抓車固定
BOY,ACTIVE,BOTTOM,PANTS,KNIT,WB,腰頭,75,26,5,high,A & F,71.4,A & F(71.4%) / GAP(16.3%) / UNDER ARMOUR(5.1%),301,46.9,Lockstitch,29.9,0.074,5,9,手工-含做記號、翻修等工段,E,做上腰頭記號
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,DC,繩類,73,62,5,high,UNDER ARMOUR,45.9,UNDER ARMOUR(45.9%) / DICKS SPORTING GOODS(34.1%) / KOHLS(9.4%),301,100.0,Lockstitch,37.0,0.054,1,3,平車-細針距,C,繩固定大身
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,LI,裡布,71,50,6,high,DICKS SPORTING GOODS,43.7,DICKS SPORTING GOODS(43.7%) / TARGET(26.8%) / OLD NAVY(16.9%),301,78.0,Marking,43.8,0.049,4,6,手工-含做記號、翻修等工段,E,裁片四周固定
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,BS,釦鎖,68,60,5,high,UNDER ARMOUR,45.6,UNDER ARMOUR(45.6%) / DICKS SPORTING GOODS(30.9%) / TARGET(10.3%),,,Buttonhole,66.0,0.031,0,3,燙工-手燙,C,燙襯
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,66,24,3,high,A & F,50.0,A & F(50.0%) / TARGET(45.5%) / UNDER ARMOUR(4.5%),301,100.0,Marking,46.1,0.028,1,5,手工-含做記號、翻修等工段,E,做記號
BOY,SLEEPWEAR/RTW,BOTTOM,PANTS,KNIT,PS,褲合身,65,7,1,low,TARGET,100.0,TARGET(100.0%),514,81.8,4-thread Overlock,53.3,0.022,3,8,四線拷克,B,打結(一個)
BABY,ACTIVE,BOTTOM,PANTS,WOVEN,PS,褲合身,65,12,2,medium,TARGET,75.4,TARGET(75.4%) / A & F(24.6%),514,43.9,4-thread Overlock,33.3,0.032,4,6,手工-含做記號、翻修等工段,B,合內長
BOY,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,64,26,5,high,A & F,75.0,A & F(75.0%) / GAP(15.6%) / UNDER ARMOUR(3.1%),301,100.0,Marking,49.8,0.027,1,4,手工-含做記號、翻修等工段,E,做記號
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,PK,口袋,63,12,2,medium,TARGET,87.7,TARGET(87.7%) / UNDER ARMOUR(12.3%),301,61.9,Lockstitch,31.2,0.057,4,9,平車-細針距,B,固定袋布
BABY,ACTIVE,BOTTOM,PANTS,KNIT,PS,褲合身,63,12,5,high,OLD NAVY,27.0,OLD NAVY(27.0%) / A & F(27.0%) / GAP(19.0%),514,88.8,4-thread Overlock,76.0,0.028,3,7,四線拷克,B,合內長
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,BN,貼合,62,8,3,high,TARGET,66.1,TARGET(66.1%) / BEYOND YOGA(30.6%) / DICKS SPORTING GOODS(3.2%),301,100.0,Marking,65.9,0.095,1,6,手工-含做記號、翻修等工段,E,修頭尾
WOMEN,RTW,BOTTOM,PANTS,KNIT,SB,剪接線_下身類,60,18,5,high,ASICS-EU,40.0,ASICS-EU(40.0%) / WAL-MART-CA(40.0%) / KOHLS(10.0%),514,40.3,4-thread Overlock,29.1,0.073,5,9,手工-含做記號、翻修等工段,B,做記號
MEN,RTW,BOTTOM,PANTS,WOVEN,LB,商標,60,28,7,high,GU,25.0,GU(25.0%) / ZARA(23.3%) / WAL-MART-CA(20.0%),301,98.4,Marking,44.5,0.032,2,6,手工-含做記號、翻修等工段,E,做記號
BOY,RTW,BOTTOM,PANTS,WOVEN,PK,口袋,59,7,5,high,ZARA,40.0,ZARA(40.0%) / DICKS SPORTING GOODS(20.0%) / GU(15.0%),301,56.8,Lockstitch,24.9,0.052,5,10,平車-細針距,B,打結(四個)
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,BN,貼合,56,16,2,medium,BEYOND YOGA,53.6,BEYOND YOGA(53.6%) / ATHLETA(46.4%),301,100.0,Marking,50.0,0.077,1,5,手工-含做記號、翻修等工段,E,修頭尾
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,OT,其它,55,12,2,low,A & F,86.4,A & F(86.4%) / UNDER ARMOUR(13.6%),301,90.6,Lockstitch,60.7,0.022,5,8,帶刀平車,C,腰頭游線
MEN,RTW,BOTTOM,PANTS,KNIT,PK,口袋,54,10,5,high,HIGH LIFE LLC,40.3,HIGH LIFE LLC(40.3%) / KOHLS(21.0%) / ASICS-EU(17.7%),301,61.7,Lockstitch,35.4,0.074,5,9,平車-細針距,E,固定袋布
BOY,ACTIVE,BOTTOM,PANTS,KNIT,LO,褲口,54,26,5,high,A & F,70.7,A & F(70.7%) / GAP(17.2%) / TARGET(6.9%),514,53.1,4-thread Overlock,28.1,0.063,5,10,手工-含做記號、翻修等工段,E,修褲口
MEN,RTW,BOTTOM,PANTS,WOVEN,LO,褲口,53,28,7,high,GU,39.6,GU(39.6%) / WAL-MART-CA(24.5%) / ZARA(13.2%),301,40.0,Marking,22.2,0.085,7,11,手工-含做記號、翻修等工段,B,壓褲口
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,LI,裡布,53,27,4,high,DICKS SPORTING GOODS,60.4,DICKS SPORTING GOODS(60.4%) / TARGET(22.6%) / UNDER ARMOUR(13.2%),301,81.5,Marking,46.5,0.039,3,5,手工-含做記號、翻修等工段,E,短褲翻修(內裡短褲)
BOY,RTW,BOTTOM,PANTS,WOVEN,LO,褲口,53,35,6,high,GAP,75.4,GAP(75.4%) / ZARA(7.0%) / DICKS SPORTING GOODS(7.0%),301,49.4,Lockstitch,28.4,0.071,6,10,平車-細針距,B,壓褲口
